Start Date,End Date,Employee,Client Name
2023-09-01 08:00:00,2023-09-01 08:19:00,Kinga,XYZ Corporation
2023-09-01 08:19:00,2023-09-01 09:19:00,Wojtek,XYZ Corporation
2023-09-01 09:19:00,2023-09-01 09:48:00,Krzysiek,XYZ Corporation
2023-09-01 09:48:00,2023-09-01 10:52:00,Wojtek,Stellar Solutions
2023-09-01 10:52:00,2023-09-01 11:22:00,Krzysiek,ABC Company
2023-09-01 11:22:00,2023-09-01 12:48:00,Kinga,Visionary Ventures
2023-09-01 12:48:00,2023-09-01 13:49:00,Kinga,Visionary Ventures
2023-09-01 13:49:00,2023-09-01 15:19:00,Kinga,ABC Company
2023-09-01 15:19:00,2023-09-01 16:49:00,Kinga,ABC Company
2023-09-01 16:49:00,2023-09-01 17:04:00,Krzysiek,Visionary Ventures
2023-09-01 17:04:00,2023-09-01 17:27:00,Krzysiek,Visionary Ventures
2023-09-01 17:27:00,2023-09-01 18:23:00,Kinga,ABC Company
2023-09-01 18:23:00,2023-09-01 19:19:00,Krzysiek,Acme Inc.
2023-09-01 19:19:00,2023-09-01 20:03:00,Kinga,Stellar Solutions
2023-09-01 20:03:00,2023-09-01 21:53:00,Adam,Visionary Ventures
2023-09-01 21:53:00,2023-09-01 22:17:00,Krzysiek,XYZ Corporation
2023-09-01 22:17:00,2023-09-01 23:22:00,Adam,XYZ Corporation
2023-09-01 23:22:00,2023-09-02 00:45:00,Kinga,ABC Company
2023-09-02 00:45:00,2023-09-02 02:42:00,Krzysiek,ABC Company
2023-09-02 02:42:00,2023-09-02 03:13:00,Wojtek,XYZ Corporation
2023-09-02 03:13:00,2023-09-02 04:33:00,Kinga,Stellar Solutions
2023-09-02 04:33:00,2023-09-02 05:43:00,Kinga,Acme Inc.
2023-09-02 05:43:00,2023-09-02 07:13:00,Krzysiek,ABC Company
2023-09-02 07:13:00,2023-09-02 09:03:00,Wojtek,Stellar Solutions
2023-09-02 09:03:00,2023-09-02 10:08:00,Adam,ABC Company
2023-09-02 10:08:00,2023-09-02 10:35:00,Adam,Stellar Solutions
2023-09-02 10:35:00,2023-09-02 12:00:00,Krzysiek,XYZ Corporation
2023-09-02 12:00:00,2023-09-02 13:13:00,Adam,Stellar Solutions
2023-09-02 13:13:00,2023-09-02 14:52:00,Krzysiek,Acme Inc.
2023-09-02 14:52:00,2023-09-02 16:12:00,Krzysiek,ABC Company
2023-09-02 16:12:00,2023-09-02 16:40:00,Adam,ABC Company
2023-09-02 16:40:00,2023-09-02 18:25:00,Adam,Visionary Ventures
2023-09-02 18:25:00,2023-09-02 19:28:00,Adam,XYZ Corporation
2023-09-02 19:28:00,2023-09-02 20:36:00,Adam,ABC Company
2023-09-02 20:36:00,2023-09-02 21:13:00,Krzysiek,ABC Company
2023-09-02 21:13:00,2023-09-02 22:46:00,Adam,Acme Inc.
2023-09-02 22:46:00,2023-09-03 00:22:00,Krzysiek,ABC Company
2023-09-03 00:22:00,2023-09-03 02:16:00,Adam,Acme Inc.
2023-09-03 02:16:00,2023-09-03 03:51:00,Adam,Acme Inc.
2023-09-03 03:51:00,2023-09-03 05:24:00,Adam,Visionary Ventures
2023-09-03 05:24:00,2023-09-03 07:11:00,Wojtek,Acme Inc.
2023-09-03 07:11:00,2023-09-03 09:03:00,Adam,Acme Inc.
2023-09-03 09:03:00,2023-09-03 10:22:00,Krzysiek,XYZ Corporation
2023-09-03 10:22:00,2023-09-03 12:15:00,Adam,ABC Company
2023-09-03 12:15:00,2023-09-03 12:39:00,Kinga,XYZ Corporation
2023-09-03 12:39:00,2023-09-03 14:05:00,Wojtek,ABC Company
2023-09-03 14:05:00,2023-09-03 14:24:00,Wojtek,Acme Inc.
2023-09-03 14:24:00,2023-09-03 14:50:00,Krzysiek,ABC Company
2023-09-03 14:50:00,2023-09-03 16:38:00,Kinga,ABC Company
2023-09-03 16:38:00,2023-09-03 18:19:00,Wojtek,ABC Company
2023-09-03 18:19:00,2023-09-03 20:03:00,Krzysiek,XYZ Corporation
2023-09-03 20:03:00,2023-09-03 21:44:00,Krzysiek,Acme Inc.
2023-09-03 21:44:00,2023-09-03 22:24:00,Wojtek,Visionary Ventures
2023-09-03 22:24:00,2023-09-03 22:44:00,Krzysiek,ABC Company
2023-09-03 22:44:00,2023-09-04 00:35:00,Krzysiek,ABC Company
2023-09-04 00:35:00,2023-09-04 01:50:00,Adam,XYZ Corporation
2023-09-04 01:50:00,2023-09-04 02:51:00,Krzysiek,ABC Company
2023-09-04 02:51:00,2023-09-04 03:36:00,Adam,Stellar Solutions
2023-09-04 03:36:00,2023-09-04 04:15:00,Kinga,Stellar Solutions
2023-09-04 04:15:00,2023-09-04 04:44:00,Wojtek,XYZ Corporation
2023-09-04 04:44:00,2023-09-04 06:43:00,Kinga,Acme Inc.
2023-09-04 06:43:00,2023-09-04 07:26:00,Kinga,Visionary Ventures
2023-09-04 07:26:00,2023-09-04 08:21:00,Wojtek,Acme Inc.
2023-09-04 08:21:00,2023-09-04 10:09:00,Kinga,Stellar Solutions
2023-09-04 10:09:00,2023-09-04 11:25:00,Adam,Stellar Solutions
2023-09-04 11:25:00,2023-09-04 13:09:00,Kinga,ABC Company
2023-09-04 13:09:00,2023-09-04 15:01:00,Wojtek,XYZ Corporation
2023-09-04 15:01:00,2023-09-04 15:20:00,Adam,Visionary Ventures
2023-09-04 15:20:00,2023-09-04 15:38:00,Adam,Visionary Ventures
2023-09-04 15:38:00,2023-09-04 17:24:00,Krzysiek,ABC Company
2023-09-04 17:24:00,2023-09-04 19:00:00,Krzysiek,ABC Company
2023-09-04 19:00:00,2023-09-04 19:15:00,Kinga,Visionary Ventures
2023-09-04 19:15:00,2023-09-04 21:06:00,Kinga,XYZ Corporation
2023-09-04 21:06:00,2023-09-04 21:28:00,Krzysiek,XYZ Corporation
2023-09-04 21:28:00,2023-09-04 23:21:00,Kinga,Acme Inc.
2023-09-04 23:21:00,2023-09-05 00:05:00,Wojtek,Acme Inc.
2023-09-05 00:05:00,2023-09-05 00:38:00,Adam,Visionary Ventures
2023-09-05 00:38:00,2023-09-05 02:32:00,Krzysiek,Visionary Ventures
2023-09-05 02:32:00,2023-09-05 03:43:00,Kinga,ABC Company
2023-09-05 03:43:00,2023-09-05 05:39:00,Adam,ABC Company
2023-09-05 05:39:00,2023-09-05 07:22:00,Adam,Acme Inc.
2023-09-05 07:22:00,2023-09-05 08:54:00,Krzysiek,Visionary Ventures
2023-09-05 08:54:00,2023-09-05 09:47:00,Krzysiek,XYZ Corporation
2023-09-05 09:47:00,2023-09-05 10:09:00,Kinga,ABC Company
2023-09-05 10:09:00,2023-09-05 11:06:00,Krzysiek,ABC Company
2023-09-05 11:06:00,2023-09-05 13:01:00,Kinga,Stellar Solutions
2023-09-05 13:01:00,2023-09-05 14:37:00,Kinga,Stellar Solutions
2023-09-05 14:37:00,2023-09-05 16:22:00,Kinga,XYZ Corporation
2023-09-05 16:22:00,2023-09-05 18:19:00,Kinga,Acme Inc.
2023-09-05 18:19:00,2023-09-05 19:47:00,Krzysiek,XYZ Corporation
2023-09-05 19:47:00,2023-09-05 20:15:00,Krzysiek,XYZ Corporation
2023-09-05 20:15:00,2023-09-05 21:55:00,Kinga,ABC Company
2023-09-05 21:55:00,2023-09-05 22:54:00,Krzysiek,ABC Company
2023-09-05 22:54:00,2023-09-05 23:34:00,Krzysiek,Acme Inc.
2023-09-05 23:34:00,2023-09-06 01:24:00,Wojtek,XYZ Corporation
2023-09-06 01:24:00,2023-09-06 02:24:00,Kinga,Acme Inc.
2023-09-06 02:24:00,2023-09-06 03:54:00,Krzysiek,XYZ Corporation
2023-09-06 03:54:00,2023-09-06 05:13:00,Kinga,ABC Company
2023-09-06 05:13:00,2023-09-06 05:42:00,Adam,Acme Inc.
2023-09-06 05:42:00,2023-09-06 07:15:00,Kinga,Acme Inc.
2023-09-06 07:15:00,2023-09-06 07:48:00,Adam,ABC Company
2023-09-06 07:48:00,2023-09-06 09:48:00,Wojtek,XYZ Corporation
2023-09-06 09:48:00,2023-09-06 10:48:00,Adam,ABC Company
2023-09-06 10:48:00,2023-09-06 11:55:00,Adam,Stellar Solutions
2023-09-06 11:55:00,2023-09-06 12:34:00,Adam,Stellar Solutions
2023-09-06 12:34:00,2023-09-06 13:23:00,Wojtek,Stellar Solutions
2023-09-06 13:23:00,2023-09-06 14:03:00,Adam,Acme Inc.
2023-09-06 14:03:00,2023-09-06 15:52:00,Kinga,ABC Company
2023-09-06 15:52:00,2023-09-06 17:00:00,Kinga,Acme Inc.
2023-09-06 17:00:00,2023-09-06 17:32:00,Adam,ABC Company
